id_node	sensor	timestamp	valor_v
AQM60	PM10	2017-05-11 04:45:16	3735
AQM60	PM10	2017-05-11 04:47:16	6016
AQM60	PM10	2017-05-11 04:49:16	8233
AQM60	PM10	2017-05-11 04:51:16	14154
AQM60	PM10	2017-05-11 04:53:16	9,96
AQM60	PM10	2017-05-11 04:55:16	6116
AQM60	PM10	2017-05-11 04:57:16	5313
AQM60	PM10	2017-05-11 04:59:16	6464
AQM60	PM10	2017-05-11 05:01:16	4,96
AQM60	PM10	2017-05-11 05:03:16	3735
AQM60	PM10	2017-05-11 05:06:58	7941
AQM60	PM10	2017-05-11 05:08:58	8765
AQM60	PM10	2017-05-11 05:10:58	8281
AQM60	PM10	2017-05-11 05:12:58	8427
AQM60	PM10	2017-05-11 05:14:58	13705
AQM60	PM10	2017-05-11 05:16:58	19239
AQM60	PM10	2017-05-11 05:18:58	12707
AQM60	PM10	2017-05-11 05:20:58	13,57
AQM60	PM10	2017-05-11 05:22:58	30812
AQM60	PM10	2017-05-11 05:24:58	21759
AQM60	PM10	2017-05-11 05:26:58	12433
AQM60	PM10	2017-05-11 05:28:58	10103
AQM60	PM10	2017-05-11 05:30:58	10197
AQM60	PM10	2017-05-11 05:32:58	10,95
AQM60	PM10	2017-05-11 05:34:58	14199
AQM60	PM10	2017-05-11 05:36:58	15396
AQM60	PM10	2017-05-11 05:38:58	14378
AQM60	PM10	2017-05-11 05:40:58	16182
AQM60	PM10	2017-05-11 05:42:58	19858
AQM60	PM10	2017-05-11 05:44:58	21719
AQM60	PM10	2017-05-11 05:46:58	21639
AQM60	PM10	2017-05-11 05:48:58	23,02
AQM60	PM10	2017-05-11 05:50:58	26504
AQM60	PM10	2017-05-11 05:52:58	29784
AQM60	PM10	2017-05-11 05:54:58	29403
AQM60	PM10	2017-05-11 05:56:58	27052
AQM60	PM10	2017-05-11 05:58:58	29088
AQM60	PM10	2017-05-11 06:00:58	38747
AQM60	PM10	2017-05-11 06:02:58	43969
AQM60	PM10	2017-05-11 06:04:58	48382
AQM60	PM10	2017-05-11 06:07:17	51298
AQM60	PM10	2017-05-11 06:09:17	56064
AQM60	PM10	2017-05-11 06:11:17	59334
AQM60	PM10	2017-05-11 06:13:17	58,23
AQM60	PM10	2017-05-11 06:15:17	60627
